"","video_id","publishedAt","title","description","id","viewCount","likeCount","favoriteCount","commentCount"
"160","HY0qDg4ento",2022-06-07,"Private Equity JACKS Up Trailer Park Rents Hurting Millions |Breaking Points with Krystal and Saagar","Krystal and Saagar cover the massive increase in trailer park rents being caused by private equity entering the mobile home ...","HY0qDg4ento",70295,2981,0,862
"161","_ZO_W2m3OAs",2022-06-23,"SHOCK POLL: DeSantis BEATS Trump In NH GOP Primary | Breaking Points with Krystal and Saagar","Krystal and Saagar analyze a shock poll among New Hampshire GOP voters showing DeSantis ahead of Trump in a primary poll ...","_ZO_W2m3OAs",83268,2524,0,1128
"162","IhzRagV3vkM",2022-06-20,"Biden FALLS Off Bike As &#39;TOO OLD&#39; Discussion Escalates | Breaking Points with Krystal and Saagar","Krystal and Saagar weigh in on the escalating discussions about President Biden's old age and mental acuity after he fell off a ...","IhzRagV3vkM",91222,3093,0,1090
"163","5Idm4GD1NjI",2022-03-31,"FACT FROM FICTION: Is Russia WITHDRAWING From Kyiv? | Breaking Points with Krystal and Saagar","Krystal and Saagar cover the possible retreat from Ukrainian capital Kyiv by Russian forces in what they claim is a trust building, ...","5Idm4GD1NjI",108775,3238,0,893
"164","dtMGDvSI-is",2022-07-11,"Trump TRASHES Elon As &#39;Bullshit Artist&#39; | Breaking Points with Krystal and Saagar","Krystal and Saagar comment on Donald Trump's response to Elon Musk's Twitter deal collapsing after Musk expressed support for ...","dtMGDvSI-is",107298,3089,0,580
"165","n8jCBcUGLdY",2022-05-12,"Biden BLAMES Historic Inflation On &#39;Putin Price Hike&#39; | Breaking Points with Krystal and Saagar","Krystal and Saagar criticize President Biden for deflecting blame on inflation to Vladimir Putin instead of using his power to ...","n8jCBcUGLdY",110610,4303,0,1575
"166","nGL0fQyKFKw",2022-06-07,"WAPO Stands By Amber Heard&#39;s FALSE Op-Ed On Johnny Depp | Breaking Points with Krystal and Saagar","Krystal and Saagar criticize the Washington Post and ACLU for standing by Amber Heard's defamatory op-ed about Johnny Depp ...","nGL0fQyKFKw",112083,3997,0,475
"167","VCRyawjKTwg",2022-06-28,"Kamala REVEALS Plan On Roe: NOTHING | Breaking Points with Krystal and Saagar","Krystal and Saagar criticize Vice President Kamala Harris for a CNN interview she conducted where her answers revealed Dems ...","VCRyawjKTwg",161064,4960,0,1282
"168","0ZQAxWCuUoc",2022-06-14,"CRYPTO BLACK MONDAY: Bitcoin, Ethereum CRASH 70% From All Time Highs | Breaking Points","Krystal and Saagar analyze the crypto black Monday that took place in markets yesterday as the free fall of Bitcoin and Ethereum ...","0ZQAxWCuUoc",100881,3138,0,1218
"169","ei173Dy5CeY",2022-05-18,"Jon Bernthal On His Love for Breaking Points, Playing Real Americans, And New Wire Sequel","Saagar talks to actor Jon Bernthal of the Walking Dead about his support for Breaking Points in the current media environment ...","ei173Dy5CeY",138433,8509,0,849
